app_lemma,scope,surface_sie_form,card_count,card_ids,levels,standalone_card_count,phrase_card_count,repository_pair_lemmas,direct_match_basis,direct_source_entry_numbers,linked_repository_forms,linked_source_entry_numbers,opposite_reflexivity_collision_entry_numbers,review_flags,method_note,rights_note
zakręcać,core-A1-B1,false,1,a2-ecology-015,A2,1,0,zakręcać;zakręcić,source-entry-string-after-conservative-normalization,901,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
zakładać,core-A1-B1,false,1,a2-appearance-clothes-005,A2,1,0,zakładać;założyć,source-entry-string-after-conservative-normalization,898,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
zalogować się,core-A1-B1,true,1,b1-media-technology-006,B1,1,0,logować się;zalogować się,none,,,,,no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
zapraszać,core-A1-B1,false,1,a2-holidays-traditions-019,A2,1,0,zapraszać;zaprosić,source-entry-string-after-conservative-normalization,923,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
zaprosić,core-A1-B1,false,1,a2-leisure-culture-014,A2,1,0,zapraszać;zaprosić,none,,zapraszać,923,,repository-pair-semantics-unreviewed;no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
zarabiać,core-A1-B1,false,1,b1-money-finance-006,B1,1,0,zarabiać;zarobić,source-entry-string-after-conservative-normalization,924,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
zastanawiać się,podcast-only,true,1,podcasts-toxic-productivity-014,Podcasts,0,1,zastanawiać się;zastanowić się,source-entry-string-after-conservative-normalization,929,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
zasypiać,core-A1-B1,false,1,a2-daily-life-009,A2,1,0,zasnąć;zasypiać,source-entry-string-after-conservative-normalization,935,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
zatrudnić,core-A1-B1,false,1,b1-career-008,B1,1,0,zatrudniać;zatrudnić,none,,zatrudniać,936,,repository-pair-semantics-unreviewed;no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
zawracać,core-A1-B1,false,1,b1-swearing-008,B1,0,1,,none,,,,,no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
załatwiać,core-A1-B1,false,1,b1-getting-things-done-001,B1,0,1,załatwiać;załatwić,source-entry-string-after-conservative-normalization,907,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
zbierać,core-A1-B1,false,1,a2-ecology-003,A2,1,0,zbierać;zebrać,source-entry-string-after-conservative-normalization,945,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
zdradzić,core-A1-B1,false,1,b1-relationships-019,B1,1,0,zdradzać;zdradzić,none,,zdradzać,956,,repository-pair-semantics-unreviewed;no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
zdrowieć,core-A1-B1,false,1,a2-health-body-028,A2,1,0,wyzdrowieć;zdrowieć,none,,,,,no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
zgadzać się,core-A1-B1,true,1,b1-relationships-021,B1,1,0,zgadzać się;zgodzić się,source-entry-string-after-conservative-normalization,958,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
zgubić,core-A1-B1,false,1,b1-travel-problems-003,B1,1,0,gubić;zgubić,none,,gubić,135,,repository-pair-semantics-unreviewed;no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
zgłosić,core-A1-B1,false,1,b1-travel-problems-008,B1,1,0,zgłaszać;zgłosić,none,,zgłaszać,959,,repository-pair-semantics-unreviewed;no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
zjebać,core-A1-B1,false,1,b1-swearing-025,B1,1,0,,none,,,,,no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
zmienić,core-A1-B1,false,1,b1-character-emotions-001,B1,0,1,zmieniać;zmienić,none,,zmieniać,966,,repository-pair-semantics-unreviewed;no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
znać,core-A1-B1,false,1,a1-first-verbs-012,A1,1,0,poznać;znać,source-entry-string-after-conservative-normalization,972,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
zwolnić się,core-A1-B1,true,1,b1-career-009,B1,1,0,zwalniać się;zwolnić się,none,,,,,no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
zwracać,core-A1-B1,false,1,a2-ecology-002,A2,1,0,zwracać;zwrócić,source-entry-string-after-conservative-normalization,990,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
złożyć,core-A1-B1,false,1,a2-official-matters-004,A2,0,1,składać;złożyć,none,,składać,641,,repository-pair-semantics-unreviewed;no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
ćwiczyć,core-A1-B1,false,1,b1-healthy-lifestyle-007,B1,1,0,poćwiczyć;ćwiczyć,source-entry-string-after-conservative-normalization,55,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
łączyć,podcast-only,false,1,podcasts-meaning-of-life-005,Podcasts,0,1,,source-entry-string-after-conservative-normalization,202,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
ściągnąć,core-A1-B1,false,1,b1-media-technology-002,B1,1,0,ściągać;ściągnąć,none,,ściągać,686,,repository-pair-semantics-unreviewed;no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
śpiewać,core-A1-B1,false,1,a1-free-time-008,A1,1,0,zaśpiewać;śpiewać,source-entry-string-after-conservative-normalization,691,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
świętować,core-A1-B1,false,1,a2-holidays-traditions-018,A2,1,0,świętować,none,,,,,no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
żyć,podcast-only,false,1,podcasts-meaning-of-life-001,Podcasts,0,1,,source-entry-string-after-conservative-normalization,1001,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
